"","month","age","death_age"
"1",Mar 2020,48.3822784810127,76.8333333333333
"2",Apr 2020,50.3236434108527,79.25
"3",May 2020,37.6488664299372,75.8050314465409
"4",Jun 2020,40.0033146217589,76.5666041275797
"5",Jul 2020,43.7587810428416,79.1434977578475
"6",Aug 2020,44.3590954199621,78.0415754923414
"7",Sep 2020,44.2864961465431,77.7022624434389
"8",Oct 2020,43.2785749628897,77.2521739130435
"9",Nov 2020,42.60050865695,76.5092024539877
"10",Dec 2020,41.6967500153591,77.3010380622837
"11",Jan 2021,40.3211112095179,76.6907216494845
"12",Feb 2021,42.134197017844,76.6533333333333
"13",Mar 2021,41.3263686037321,76.7875
"14",Apr 2021,41.1785605620557,74.2275280898876
"15",May 2021,41.6403084564109,71.0645604395604
"16",Jun 2021,40.5110824933753,70.2527573529412
"17",Jul 2021,38.409371884347,70.8245243128964
"18",Aug 2021,36.7359050445104,73.3678756476684
"19",Sep 2021,34.9566420664207,72.0181818181818
"20",Oct 2021,34.8912788423934,69.1785714285714
"21",Nov 2021,35.5724676724138,69.6086956521739
"22",Dec 2021,34.8332278182626,78.4390243902439
"23",Jan 2022,38.3359039313329,76.5704225352113
