"","date","dose_1","dose_1_cumulative","dose_1_perc","dose_2","dose_2_cumulative","dose_2_perc","dose_3","dose_3_cumulative","dose_3_perc","difference_1_2"
"29",2021-01-26,146,23906,0.78,901,3126,0.1,0,0,0,0.68
"30",2021-01-27,120,24026,0.78,992,4118,0.13,0,0,0,0.65
"31",2021-01-28,117,24143,0.78,1149,5267,0.17,0,0,0,0.61
"32",2021-01-29,59,24202,0.79,1637,6904,0.22,0,0,0,0.57
"33",2021-01-30,6,24208,0.79,406,7310,0.24,0,0,0,0.55
"34",2021-01-31,1,24209,0.79,342,7652,0.25,0,0,0,0.54
"35",2021-02-01,1,24210,0.79,1490,9142,0.3,0,0,0,0.49
"36",2021-02-02,1727,25937,0.84,1461,10603,0.34,0,0,0,0.5
"37",2021-02-03,2355,28292,0.92,1225,11828,0.38,0,0,0,0.54
"38",2021-02-04,1768,30060,0.98,1801,13629,0.44,0,0,0,0.54
"39",2021-02-05,2817,32877,1.07,2810,16439,0.53,0,0,0,0.54
"40",2021-02-06,300,33177,1.08,949,17388,0.57,0,0,0,0.51
"41",2021-02-07,374,33551,1.09,631,18019,0.59,0,0,0,0.5
"42",2021-02-08,1178,34729,1.13,1285,19304,0.63,0,0,0,0.5
"43",2021-02-09,1984,36713,1.19,941,20245,0.66,0,0,0,0.53
"44",2021-02-10,1021,37734,1.23,550,20795,0.68,0,0,0,0.55
"45",2021-02-11,1115,38849,1.26,408,21203,0.69,0,0,0,0.57
"46",2021-02-12,912,39761,1.29,568,21771,0.71,0,0,0,0.58
"47",2021-02-13,31,39792,1.29,41,21812,0.71,0,0,0,0.58
"48",2021-02-14,1,39793,1.29,30,21842,0.71,0,0,0,0.58
"49",2021-02-15,0,39793,1.29,0,21842,0.71,0,0,0,0.58
"50",2021-02-16,6,39799,1.29,41,21883,0.71,0,0,0,0.58
"51",2021-02-17,2001,41800,1.36,316,22199,0.72,0,0,0,0.64
"52",2021-02-18,5456,47256,1.54,308,22507,0.73,0,0,0,0.81
"53",2021-02-19,5302,52558,1.71,208,22715,0.74,0,0,0,0.97
"54",2021-02-20,1230,53788,1.75,16,22731,0.74,0,0,0,1.01
"55",2021-02-21,831,54619,1.78,1,22732,0.74,0,0,0,1.04
"56",2021-02-22,9533,64152,2.09,139,22871,0.74,0,0,0,1.35
"57",2021-02-23,9717,73869,2.4,1642,24513,0.8,0,0,0,1.6
"58",2021-02-24,9846,83715,2.72,1820,26333,0.86,0,0,0,1.86
"59",2021-02-25,9758,93473,3.04,1834,28167,0.92,0,0,0,2.12
"60",2021-02-26,9266,102739,3.34,2526,30693,1,0,0,0,2.34
"61",2021-02-27,1522,104261,3.39,117,30810,1,0,0,0,2.39
"62",2021-02-28,364,104625,3.4,144,30954,1.01,0,0,0,2.39
"63",2021-03-01,8053,112678,3.66,1120,32074,1.04,0,0,0,2.62
"64",2021-03-02,7696,120374,3.91,1233,33307,1.08,0,0,0,2.83
"65",2021-03-03,7091,127465,4.14,1630,34937,1.14,0,0,0,3
"66",2021-03-04,2977,130442,4.24,1189,36126,1.17,0,0,0,3.07
"67",2021-03-05,2561,133003,4.32,1169,37295,1.21,0,0,0,3.11
"68",2021-03-06,2875,135878,4.42,120,37415,1.22,0,0,0,3.2
"69",2021-03-07,2704,138582,4.51,12,37427,1.22,0,0,0,3.29
"70",2021-03-08,4440,143022,4.65,356,37783,1.23,0,0,0,3.42
"71",2021-03-09,10426,153448,4.99,190,37973,1.23,0,0,0,3.76
"72",2021-03-10,12231,165679,5.39,554,38527,1.25,0,0,0,4.14
"73",2021-03-11,13898,179577,5.84,3624,42151,1.37,0,0,0,4.47
"74",2021-03-12,9515,189092,6.15,4627,46778,1.52,0,0,0,4.63
"75",2021-03-13,5783,194875,6.34,829,47607,1.55,0,0,0,4.79
"76",2021-03-14,4271,199146,6.47,729,48336,1.57,0,0,0,4.9
