"","","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022"
"1","cases",-0.5091635258526,0.208964808010246,0.621831052941557,0.898954375016104,0.917594276772803,0.8987162003057,0.877186937856622,0.85864666524776,0.843893240830911,0.801928343095705,0.710951593914849,0.662390057536037,0.602931298502526,0.569587099187518,0.590529735049023,0.579906859420926,0.550426363897768,0.519252241203108,0.504839571588224,0.491519910272132,0.474007765535369,0.358812982105116,0.469585281279205
"2","cases_1M",-0.57260961829703,0.0243762403961251,0.609303093280798,0.909109622334701,0.914503003938058,0.87779977799758,0.837268912556941,0.806783579798889,0.782566518184503,0.71689855144638,0.546832737972345,0.443540533840963,0.312759756914464,0.210661016875114,0.24429598525877,0.212295020935914,0.145692770275349,0.0805763145856165,0.0513746122126645,0.0229137494079179,-0.0152688892889509,-0.238733642960697,-0.00780006254133666
"3","deaths",-0.100425448542312,-0.0118440163720229,0.281437933415698,0.525731992088951,0.575913056037156,0.548734533285911,0.524776513261373,0.541014574544747,0.523308624886038,0.507736871759606,0.484228788963065,0.467571527640861,0.439668923319033,0.467221714645296,0.50769372345784,0.511184025127968,0.520519713666585,0.52182902780194,0.525659940884538,0.526391639266006,0.52660630773956,0.517753800913174,0.524278867390663
"4","deaths_1M",-0.223762367787415,-0.175656753652607,0.147588305963315,0.388038319016776,0.377965833250169,0.273892712577361,0.187651989116923,0.177131036989925,0.12262631016221,0.0937603007854399,0.0373849661395391,-0.00956811601265115,-0.0474772168987749,-0.04641534867786,0.0176907404042031,0.0298100921289515,0.0373825104746003,0.0331862923120359,0.0392961469031703,0.0429345451075124,0.0432681982022047,0.0310802186667102,0.0400792021375826
