"","","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022"
"1","cases",-0.570078287977963,0.0675090662503099,0.418834932418156,0.855526973907434,0.902460485669407,0.888400971953171,0.859760045591613,0.839342066210997,0.820321950388841,0.77280769403809,0.673401779673338,0.619655349840983,0.557557114709976,0.531437488958822,0.561676475331141,0.555815063651461,0.526487711660193,0.494967010286189,0.481347450392792,0.469663580026857,0.452508002423585,0.3537091583836,0.497083164716322
"2","cases_1M",-0.628804143564512,-0.129323181328594,0.404914942989189,0.874937729237557,0.909997302943011,0.878951664721141,0.83102685740509,0.799563119642433,0.770159616200118,0.696756037767312,0.514541074566986,0.403583202740663,0.26840351653569,0.178952131216514,0.229417789216645,0.205179860931907,0.139438380076077,0.0740982197902514,0.0463080173824516,0.0211731127805357,-0.0162098969859682,-0.213001126563614,0.073034206198169
"3","deaths",-0.326393753437499,-0.0710869359551605,0.198147866225502,0.520294705229667,0.607328046855008,0.577052550040978,0.544349288355828,0.551249839259499,0.536278453825728,0.517178971816098,0.492753347575594,0.470956144948192,0.448041810342669,0.477641357368489,0.529299631151077,0.53748057981504,0.542724757586631,0.544193029089361,0.547525299486944,0.548689395664524,0.548139424680379,0.538275043324873,0.545663451426708
"4","deaths_1M",-0.4226684774363,-0.226706531725164,0.0702222175828515,0.385746096587991,0.424769776796479,0.31596005360412,0.216774519076804,0.194718872581799,0.140776648683426,0.108571263597326,0.0510336161098982,-0.0031945864036409,-0.03533962261536,-0.0316569380973016,0.0454751607953963,0.0631356707130779,0.0668310724364066,0.0621281885515301,0.0679631685744891,0.0721268766079855,0.0716531646448874,0.0582157407025686,0.067858779823211
