commune,population,density_km2
1,"256405","14.433"
2,"149430","23.710"
3,"193276","30.270"
4,"240100","11.080"
5,"187518","28.160"
6,"185456","27.070"
7,"241861","19.462"
8,"228953","10.271"
9,"171264","10.376"
10,"170592","13.478"
11,"190076","13.462"
12,"214777","13.796"
13,"236358","16.132"
14,"227115","14.332"
15,"182465","12.740"
